,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410,212391,325211,325193
6702,10,0,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6703,10,0,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6704,10,0,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6705,10,0,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6706,10,0,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6707,10,0,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6708,10,0,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6709,10,0,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6710,10,0,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6711,10,0,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6712,10,0,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6713,10,0,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6714,10,0,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6715,10,0,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6716,10,0,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6717,10,0,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6718,10,0,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6719,10,0,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6720,10,1,0,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.45266667,1,1,1,1,0.196,0.7350528000000001
6721,10,1,1,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.194,1,1,1,1,0.196,0.7247238
6722,10,1,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6723,10,1,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6724,10,1,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6725,10,1,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6726,10,1,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6727,10,1,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6728,10,1,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6729,10,1,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6730,10,1,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6731,10,1,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6732,10,1,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6733,10,1,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6734,10,1,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
