,Date,HourEnding,Settlement Point Price
323,2021/01/14,12,-26.3842
324,2021/01/14,13,-16.5102
325,2021/01/14,14,3.3125
326,2021/01/14,15,-2.4316
327,2021/01/14,16,1.3298
328,2021/01/14,17,11.1861
329,2021/01/14,18,9.1165
330,2021/01/14,19,6.1632
331,2021/01/14,20,0.1578
332,2021/01/14,21,4.4297
333,2021/01/14,22,4.6725
334,2021/01/14,23,9.328
335,2021/01/14,24,14.8857
336,2021/01/15,1,23.4728
337,2021/01/15,2,10.1097
338,2021/01/15,3,17.7723
339,2021/01/15,4,21.5956
340,2021/01/15,5,1.1014
341,2021/01/15,6,7.0989
342,2021/01/15,7,5.2646
343,2021/01/15,8,5.3094
344,2021/01/15,9,9.4417
345,2021/01/15,10,25.0154
346,2021/01/15,11,63.2128
347,2021/01/15,12,28.7299
348,2021/01/15,13,19.6844
349,2021/01/15,14,20.2387
350,2021/01/15,15,17.9747
351,2021/01/15,16,51.1667
352,2021/01/15,17,87.1027
353,2021/01/15,18,22.7199
354,2021/01/15,19,21.9603
355,2021/01/15,20,15.7139
356,2021/01/15,21,27.5417
357,2021/01/15,22,28.6059
358,2021/01/15,23,30.2171
359,2021/01/15,24,14.0512
360,2021/01/16,1,18.6082
361,2021/01/16,2,16.625
362,2021/01/16,3,14.406
363,2021/01/16,4,13.9239
364,2021/01/16,5,7.4417
365,2021/01/16,6,8.7022
366,2021/01/16,7,15.026
367,2021/01/16,8,14.5474
368,2021/01/16,9,18.958
369,2021/01/16,10,18.6691
370,2021/01/16,11,24.5869
371,2021/01/16,12,17.8331
372,2021/01/16,13,16.4653
373,2021/01/16,14,20.0386
374,2021/01/16,15,26.6027
375,2021/01/16,16,58.234
376,2021/01/16,17,27.0402
377,2021/01/16,18,24.3717
378,2021/01/16,19,22.8955
379,2021/01/16,20,24.2171
380,2021/01/16,21,20.5738
381,2021/01/16,22,18.5005
382,2021/01/16,23,21.3017
383,2021/01/16,24,44.8667
384,2021/01/17,1,44.8117
385,2021/01/17,2,23.4094
386,2021/01/17,3,19.8595
387,2021/01/17,4,17.2608
388,2021/01/17,5,5.8525
389,2021/01/17,6,15.0562
390,2021/01/17,7,14.5003
391,2021/01/17,8,13.9635
392,2021/01/17,9,10.4445
393,2021/01/17,10,12.3962
394,2021/01/17,11,12.7259
395,2021/01/17,12,11.605
396,2021/01/17,13,16.729
397,2021/01/17,14,13.7209
398,2021/01/17,15,10.4664
399,2021/01/17,16,17.6874
400,2021/01/17,17,14.3475
401,2021/01/17,18,10.4592
