,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
0,MONTGOMERY COUNTY,20125,1002170,325311,Natural Gas (Weighted U.S. Average),325311,2015,KS,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002170,337.65549089999996,337.65549089999996,0.016998628000000002,93793.2669512202,10.70699394420322,NG_Type
0,WOODWARD COUNTY,40153,1005788,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1005788,3915.679132,3915.679132,0.197127467,1087689.5179286962,124.1654700831845,NG_Type
0,WOODWARD COUNTY,40153,1005788,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1005788,1978.0234789,1978.0234789,0.099579855,549451.4059218842,62.722763233091804,NG_Type
0,FORD,20057,1006037,325311,Natural Gas (Weighted U.S. Average),325311,2015,KS,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1006037,2761.772333,2761.772333,0.139036209,767159.5951160741,87.57529624612718,NG_Type
0,FORD,20057,1006037,325311,Natural Gas (Weighted U.S. Average),325311,2015,KS,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1006037,1395.1221063000003,1395.1221063000003,0.070234787,387534.22844380146,44.23906717394994,NG_Type
0,ROGERS,40131,1002275,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002275,12964.65445,12964.65445,0.65268103,3601295.7838121,411.10682463608447,NG_Type
0,ROGERS,40131,1002275,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002275,6549.15534,6549.15534,0.32970485,1819211.2720345203,207.67251963864385,NG_Type
0,GARFIELD,40047,1002407,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002407,8611.102664,8611.102664,0.43350969200000006,2391974.8758005924,273.0564926713005,NG_Type
0,GARFIELD,40047,1002407,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002407,4349.938459,4349.938459,0.21898943199999998,1208317.2052641022,137.9357540255824,NG_Type
0,SEDGWICK,20173,1001704,325181,Natural Gas (Weighted U.S. Average),325181,2015,KS,177,Alkalies and Chlorine,Alkalies and Chlorine_1001704,1352.3520704900002,1352.3520704900002,0.06808161,375653.6534365713,42.882837150293525,NG_Type
0,SEQUOYAH COUNTY,40135,1002397,327410,Natural Gas (Weighted U.S. Average),327410,2015,OK,120,Lime,Lime_1002397,0.0,0.0,0.0,0.0,0.0,NG_Type
0,SEQUOYAH COUNTY,40135,1002397,327410,Natural Gas (Weighted U.S. Average),327410,2015,OK,1500,Lime,Lime_1002397,37.280908409999995,566.40276731,0.049034788999999995,157334.22789783718,17.96052829883986,NG_Type
0,BROOKINGS,46011,1003779,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1003779,2544.639304,2544.639304,0.12810505700000002,706844.816586512,80.6900475555379,NG_Type
0,BROOKINGS,46011,1003779,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1003779,1155.2350210000002,1155.2350210000002,0.058158124000000005,320898.8736633381,36.63229151407969,NG_Type
0,TURNER,46125,1004765,325193,Other Biomass Gases,325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1004765,2079.5116952000003,2081.833627215,0.10480427,578287.5813005284,66.01456407540277,NG_Type
0,TURNER,46125,1004765,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1004765,944.0727941,944.0727941,0.047527560999999996,262242.6525995098,29.93637586752395,NG_Type
0,BUFFALO COUNTY,31019,1003096,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1003096,1264.889538,1264.889538,0.063678474,351358.486086564,40.1094162199274,NG_Type
0,BUFFALO COUNTY,31019,1003096,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1003096,574.2443301,574.2443301,0.028909246,159512.4415265178,18.209182822661848,NG_Type
0,BROWN COUNTY,46013,1002047,325193,Other Biomass Gases,325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1002047,1106.4003972,1106.451601271,0.055702176000000006,307347.91289785586,35.08537818468674,NG_Type
0,BROWN COUNTY,46013,1002047,325193,Other Biomass Gases,325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1002047,502.29220489999994,502.29220489999994,0.025286952,139525.7240927122,15.927594074510523,NG_Type
0,RICE,20159,1002082,325193,Other Biomass Gases,325193,2015,KS,450,Ethyl Alcohol,Ethyl Alcohol_1002082,684.1978525,686.1417107679999,0.034541048,190595.07213371352,21.757428325766384,NG_Type
0,RICE,20159,1002082,325193,Other Biomass Gases,325193,2015,KS,233,Ethyl Alcohol,Ethyl Alcohol_1002082,310.61742999999996,310.61742999999996,0.015637448,86282.68847054,9.849621971522831,NG_Type
0,SAUNDERS,31155,1012036,325193,Other Biomass Gases,325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1012036,314.1876773,314.193366642,0.0158174671,87276.00499908149,9.96301426930154,NG_Type
0,SAUNDERS,31155,1012036,325193,Other Biomass Gases,325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1012036,142.6373505,142.6373505,0.007180808,39621.517947189,4.52300433187089,NG_Type
0,PIERCE COUNTY,31139,1005369,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1005369,1107.2997944,1107.2997944,0.055744916000000005,307583.52228884323,35.11227423388621,NG_Type
0,PIERCE COUNTY,31139,1005369,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1005369,502.70052010000006,502.70052010000006,0.025307508,139639.14507233782,15.94054167492441,NG_Type
0,GAGE,31067,1002962,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1002962,1851.758727081,1851.758727081,0.093223295,514377.835691106,58.71893101496644,NG_Type
0,GAGE,31067,1002962,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1002962,7.248039425,7.248039425,0.000364889,2013.34589539765,0.22983400632393267,NG_Type
0,HAMILTON COUNTY,31081,1003282,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,450,Ethyl Alcohol,Ethyl Alcohol_1003282,920.6940013000001,920.6940013000001,0.0463506,255748.53829311143,29.19503861793509,NG_Type
0,HAMILTON COUNTY,31081,1003282,325193,Natural Gas (Weighted U.S. Average),325193,2015,NE,233,Ethyl Alcohol,Ethyl Alcohol_1003282,304.3727471,304.3727471,0.015323071,84548.05294394381,9.651604217345184,NG_Type
0,SEDGWICK COUNTY,20173,1005278,325193,Natural Gas (Weighted U.S. Average),325193,2015,KS,450,Ethyl Alcohol,Ethyl Alcohol_1005278,100.36673732,100.36673732,0.005052774,27879.671559274964,3.1826109085930323,NG_Type
0,SEDGWICK COUNTY,20173,1005278,325193,Natural Gas (Weighted U.S. Average),325193,2015,KS,233,Ethyl Alcohol,Ethyl Alcohol_1005278,45.56526725,45.56526725,0.002293897,12657.0288061705,1.444866302074258,NG_Type
0,SPINK COUNTY,46115,1001723,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1001723,960.6980550000001,960.6980550000001,0.048364529,266860.78432179004,30.463559854085624,NG_Type
0,SPINK COUNTY,46115,1001723,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1001723,436.14512930000006,436.14512930000006,0.021956902,121151.52172669543,13.830082388892173,NG_Type
0,EDMUNDS,46045,1005353,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1005353,2347.837926,2347.837926,0.118197464,652177.723408428,74.44951180461507,NG_Type
0,EDMUNDS,46045,1005353,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,233,Ethyl Alcohol,Ethyl Alcohol_1005353,1065.8896109999998,1065.8896109999998,0.053660198,296080.68436435796,33.79916488177602,NG_Type
0,ROBERTS,46109,1002909,325193,Natural Gas (Weighted U.S. Average),325193,2015,SD,450,Ethyl Alcohol,Ethyl Alcohol_1002909,585.5088619,585.5088619,0.029476338,162641.48064085824,18.56637906859112,NG_Type
